classType,defaultPort,serviceName,serviceDescription,entry,source
Port,117/tcp,"uucp-path","UUCP Path Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,117/udp,"uucp-path","UUCP Path Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,118/tcp,"sqlserv","SQL Services",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,118/udp,"sqlserv","SQL Services",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,119/tcp,"nntp","Network News Transfer Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,119/udp,"nntp","Network News Transfer Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,120/tcp,"cfdptkt","CFDPTKT",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,120/udp,"cfdptkt","CFDPTKT",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,121/tcp,"erpc","Encore Expedited Remote Pro.Call",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,121/udp,"erpc","Encore Expedited Remote Pro.Call",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,122/tcp,"smakynet","SMAKYNET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,122/udp,"smakynet","SMAKYNET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,123/tcp,"ntp","Network Time Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,123/udp,"ntp","Network Time Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,124/tcp,"ansatrader","ANSA REX Trader",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,124/udp,"ansatrader","ANSA REX Trader",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,125/tcp,"locus-map","Locus PC-Interface Net Map Ser",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,125/udp,"locus-map","Locus PC-Interface Net Map Ser",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,126/tcp,"nxedit","NXEdit",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,126/udp,"nxedit","NXEdit",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,127/tcp,"locus-con","Locus PC-Interface Conn Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,127/udp,"locus-con","Locus PC-Interface Conn Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,128/tcp,"gss-xlicen","GSS X License Verification",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,128/udp,"gss-xlicen","GSS X License Verification",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,129/tcp,"pwdgen","Password Generator Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,129/udp,"pwdgen","Password Generator Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,130/tcp,"cisco-fna","cisco FNATIVE",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
